name,value,posX,posY,posX2,posY2,posX3,posY3,
,2,1341.0,506.0,37.0,-5618.0,37.0,-5618.0,
,4,1707.0,256.0,43.0,-6201.0,43.0,-6201.0,
,61,1747.0,646.0,230.0,-6178.0,230.0,-6178.0,
,1,1026.0,654.0,225.0,-6245.0,225.0,-6245.0,
,1,1149.0,1023.0,12.0,-6041.0,12.0,-6041.0,
,29,1111.0,175.0,1045.0,-7089.0,1045.0,-7089.0,
,29,1388.0,410.0,848.0,-7088.0,848.0,-7088.0,
,4,1575.0,485.0,-566.0,-7436.0,-566.0,-7436.0,
,4,1505.0,196.0,-853.0,-8260.0,-853.0,-8260.0,
,5,1093.0,523.0,-869.0,-8224.0,-869.0,-8224.0,
,61,1225.0,951.0,-643.0,-8266.0,-643.0,-8266.0,
,2,1778.0,901.0,-494.0,-8326.0,-494.0,-8326.0,
,5,1863.0,605.0,-690.0,-8125.0,-690.0,-8125.0,
,2,1648.0,883.0,-829.0,-7151.0,-829.0,-7151.0,
,4,1350.0,517.0,-796.0,-6744.0,-796.0,-6744.0,
,29,1127.0,566.0,-1296.0,-6661.0,-1296.0,-6661.0,
,29,1450.0,1052.0,-1785.0,-6974.0,-1785.0,-6974.0,
,2,1368.0,143.0,-1846.0,-6898.0,-1846.0,-6898.0,
,47,1501.0,506.0,-1841.0,-6893.0,-1841.0,-6893.0,
,29,1039.0,758.0,-1878.0,-6885.0,-1878.0,-6885.0,
,2,1322.0,352.0,-1405.0,-7189.0,-1405.0,-7189.0,
,1,1112.0,982.0,-767.0,-6805.0,-767.0,-6805.0,
,4,1610.0,810.0,-1140.0,-7048.0,-1140.0,-7048.0,
,25,1869.0,1023.0,892.0,-5211.0,892.0,-5211.0,
,1,1029.0,285.0,453.0,-5624.0,453.0,-5624.0,
,5,1140.0,467.0,487.0,-5633.0,487.0,-5633.0,
,25,1272.0,365.0,439.0,-5544.0,439.0,-5544.0,
,12,1257.0,606.0,-4697.0,-348.0,-4697.0,-348.0,
,4,1515.0,846.0,-4709.0,-449.0,-4709.0,-449.0,
,29,1062.0,179.0,-3846.0,-282.0,-3846.0,-282.0,
,29,1742.0,857.0,-4407.0,-755.0,-4407.0,-755.0,
,2,1106.0,269.0,4752.0,98.0,4752.0,98.0,
,2,1169.0,298.0,3741.0,-5247.0,3741.0,-5247.0,
,5,1017.0,470.0,200.0,-50.0,200.0,-50.0,
,5,1297.0,646.0,-2829.0,-3849.0,-2829.0,-3849.0,
,5,1361.0,684.0,-2048.0,-620.0,-2048.0,-620.0,
,1,1304.0,714.0,3657.0,513.0,3657.0,513.0,
,1,1261.0,749.0,1423.0,527.0,1423.0,527.0,
,3,1116.0,460.0,-2753.0,-5210.0,-2753.0,-5210.0,
,3,1104.0,498.0,-791.0,-8244.0,-791.0,-8244.0,
,3,1205.0,496.0,3964.0,422.0,3964.0,422.0,
,61,1077.0,692.0,3663.0,412.0,3663.0,412.0,
,4,1095.0,652.0,-3531.0,-259.0,-3531.0,-259.0,
,25,1164.0,621.0,2042.0,-1949.0,2042.0,-1949.0,
,4,1460.7025,391.64838,-1484.2249,-2503.176,-1484.2249,-2503.176,
,61,1179.0745,845.64923,-2433.7402,-2976.236,-2433.7402,-2976.236,
,5,1797.0066,124.009636,-3153.7378,-3399.8384,-3153.7378,-3399.8384,
,60,1228.3472,313.62854,-2878.686,-3615.096,-2878.686,-3615.096,
,30,1773.2233,99.25313,-3999.4043,-4114.2036,-3999.4043,-4114.2036,
,29,1770.772,397.42776,-4277.9785,-3604.7476,-4277.9785,-3604.7476,
,60,1744.3479,873.824,-5437.3574,-4350.9907,-5437.3574,-4350.9907,
,10,1020.7441,249.7581,-5326.0,-5655.0,-5326.0,-5655.0,
,1,1499.685,881.82416,-5343.853,-5790.242,-5343.853,-5790.242,
,61,1658.6566,870.1364,-5299.992,-5821.443,-5299.992,-5821.443,
,29,1622.4209,163.39157,-5243.208,-5884.015,-5243.208,-5884.015,
,1,1490.5231,400.05652,-5607.542,-6172.527,-5607.542,-6172.527,
,60,997.4742,158.9534,-5594.0435,-6266.0483,-5594.0435,-6266.0483,
,60,1543.1421,935.4334,-5644.438,-6505.393,-5644.438,-6505.393,
,25,1687.1697,194.63596,-5568.0044,-6923.1143,-5568.0044,-6923.1143,
,33,1134.9888,887.9595,-5090.0,-8018.0,-5090.0,-8018.0,
,60,1148.9299,346.11087,-4794.9736,-8033.8936,-4794.9736,-8033.8936,
,5,1480.6395,727.51575,-3316.9814,-7207.0166,-3316.9814,-7207.0166,
,4,1734.4158,1017.7887,-3773.022,-7363.8174,-3773.022,-7363.8174,
,60,1090.1514,794.16516,-3607.4062,-7308.1543,-3607.4062,-7308.1543,
,1,999.56305,262.96002,-3641.9604,-7290.2637,-3641.9604,-7290.2637,
,3,1688.5828,839.9384,-3470.1548,-7303.739,-3470.1548,-7303.739,
,1,1007.5939,877.9417,-3420.302,-7419.136,-3420.302,-7419.136,
,29,1153.2162,955.59955,-3203.2979,-7384.7754,-3203.2979,-7384.7754,
,0.0,1315.3018,370.36496,647.8068,364.91412,647.8068,364.91412,
,24,774.0,201.0,774.0,-2928.0,774.0,-2928.0,
,8,498.0,299.0,1359.0,626.0,1359.0,626.0,
,23,871.0,204.0,3657.0,-2651.0,3657.0,-2651.0,
,6,579.0,448.0,-3828.0,76.0,-3828.0,76.0,
,30,635.0,450.0,-2873.0,-4332.0,-2873.0,-4332.0,
,25,1524.2722,983.02924,-394.08337,-1303.5769,-394.08337,-1303.5769,
,6,1568.1384,1011.112,-151.5581,-1446.632,-151.5581,-1446.632,
,2,1018.39233,437.30347,504.85568,-1235.9171,504.85568,-1235.9171,
,3,1443.2871,263.8877,606.285,-1051.6799,606.285,-1051.6799,
,4,1530.0562,784.9178,1646.3931,-1402.2826,1646.3931,-1402.2826,
,1,1464.6506,936.15796,1092.6459,208.63858,1092.6459,208.63858,
,29,1257.2716,688.77576,-739.8786,460.10092,-739.8786,460.10092,
,10,1385.4043,983.19867,-733.2591,486.85452,-733.2591,486.85452,
,25,1618.037,632.84875,-1159.8362,81.35843,-1159.8362,81.35843,
,0.0,576.0,373.0,-347.8553,-294.43362,-347.8553,-294.43362,
,36,576.0,373.0,-347.8553,-294.43362,-347.8553,-294.43362,
,3,382.0,568.0,35.35383,-1650.4877,35.35383,-1650.4877,
,3,384.0,515.0,-610.6151,-384.2358,-610.6151,-384.2358,
,3,383.0,612.0,-247.48718,-1361.0977,-247.48718,-1361.0977,
,35,517.0,373.0,-345.2595,85.33168,-345.2595,85.33168,
,3,439.0,517.0,-1197.8116,1384.3813,-1197.8116,1384.3813,
,3,436.0,569.0,-652.78625,-128.71184,-652.78625,-128.71184,
,10,601.0,534.0,834.5026,907.87573,834.5026,907.87573,
,32,693.0,469.0,-87.308716,-41.495403,-87.308716,-41.495403,
,30,703.0,527.0,801.3032,252.61873,801.3032,252.61873,
,29,707.0,356.0,1277.7045,87.48476,1277.7045,87.48476,
,29,758.0,306.0,57.248886,417.1278,57.248886,417.1278,
,29,739.0,250.0,-410.8734,-704.94904,-410.8734,-704.94904,
,12,510.0,324.0,-601.527,-212.98099,-601.527,-212.98099,
,4,486.0,986.0,556.0127,975.1897,556.0127,975.1897,
,29,160.0412,914.83075,1284.0,773.0,1284.0,773.0,
,50,158.0,1013.0,63.44653,1006.6974,63.44653,1006.6974,
,25,549.15625,978.59143,549.15625,978.59143,549.15625,978.59143,
,8,675.0,950.0,555.81146,922.80035,555.81146,922.80035,
,22,220.18753,1046.2178,220.18753,1046.2178,220.18753,1046.2178,
,22,235.45992,993.4411,235.45992,993.4411,235.45992,993.4411,
,8,873.3035,926.8989,873.3035,926.8989,873.3035,926.8989,
,2,680.40875,916.10803,680.40875,916.10803,680.40875,916.10803,
,25,682.26416,1016.46173,682.26416,1016.46173,682.26416,1016.46173,
,1,866.1423,892.98004,866.1423,892.98004,866.1423,892.98004,
,20,64.607765,927.3822,64.607765,927.3822,64.607765,927.3822,
,3,652.66296,1046.7817,652.66296,1046.7817,652.66296,1046.7817,
,4,486.0,986.0,556.0127,975.1897,556.0127,975.1897,
,29,160.0412,914.83075,1284.0,773.0,1284.0,773.0,
,50,158.0,1013.0,63.44653,1006.6974,63.44653,1006.6974,
,25,549.15625,978.59143,549.15625,978.59143,549.15625,978.59143,
,8,675.0,950.0,555.81146,922.80035,555.81146,922.80035,
,22,220.18753,1046.2178,220.18753,1046.2178,220.18753,1046.2178,
,22,235.45992,993.4411,235.45992,993.4411,235.45992,993.4411,
,8,873.3035,926.8989,873.3035,926.8989,873.3035,926.8989,
,2,680.40875,916.10803,680.40875,916.10803,680.40875,916.10803,
,25,682.26416,1016.46173,682.26416,1016.46173,682.26416,1016.46173,
,1,866.1423,892.98004,866.1423,892.98004,866.1423,892.98004,
,20,64.607765,927.3822,64.607765,927.3822,64.607765,927.3822,
,3,652.66296,1046.7817,652.66296,1046.7817,652.66296,1046.7817,
,4,486.0,986.0,556.0127,975.1897,556.0127,975.1897,
,29,160.0412,914.83075,1284.0,773.0,1284.0,773.0,
,50,158.0,1013.0,63.44653,1006.6974,63.44653,1006.6974,
,25,549.15625,978.59143,549.15625,978.59143,549.15625,978.59143,
,8,675.0,950.0,555.81146,922.80035,555.81146,922.80035,
,22,220.18753,1046.2178,220.18753,1046.2178,220.18753,1046.2178,
,22,235.45992,993.4411,235.45992,993.4411,235.45992,993.4411,
,8,873.3035,926.8989,873.3035,926.8989,873.3035,926.8989,
,2,680.40875,916.10803,680.40875,916.10803,680.40875,916.10803,
,25,682.26416,1016.46173,682.26416,1016.46173,682.26416,1016.46173,
,1,866.1423,892.98004,866.1423,892.98004,866.1423,892.98004,
,20,64.607765,927.3822,64.607765,927.3822,64.607765,927.3822,
,3,652.66296,1046.7817,652.66296,1046.7817,652.66296,1046.7817,
,4,486.0,986.0,556.0127,975.1897,556.0127,975.1897,
,29,160.0412,914.83075,1284.0,773.0,1284.0,773.0,
,50,158.0,1013.0,63.44653,1006.6974,63.44653,1006.6974,
,25,549.15625,978.59143,549.15625,978.59143,549.15625,978.59143,
,8,675.0,950.0,555.81146,922.80035,555.81146,922.80035,
,22,220.18753,1046.2178,220.18753,1046.2178,220.18753,1046.2178,
,22,235.45992,993.4411,235.45992,993.4411,235.45992,993.4411,
,8,873.3035,926.8989,873.3035,926.8989,873.3035,926.8989,
,2,680.40875,916.10803,680.40875,916.10803,680.40875,916.10803,
,25,682.26416,1016.46173,682.26416,1016.46173,682.26416,1016.46173,
,1,866.1423,892.98004,866.1423,892.98004,866.1423,892.98004,
,20,64.607765,927.3822,64.607765,927.3822,64.607765,927.3822,
,3,652.66296,1046.7817,652.66296,1046.7817,652.66296,1046.7817,
,4,486.0,986.0,556.0127,975.1897,556.0127,975.1897,
,29,160.0412,914.83075,1284.0,773.0,1284.0,773.0,
,50,158.0,1013.0,63.44653,1006.6974,63.44653,1006.6974,
,25,549.15625,978.59143,549.15625,978.59143,549.15625,978.59143,
,8,675.0,950.0,555.81146,922.80035,555.81146,922.80035,
,22,220.18753,1046.2178,220.18753,1046.2178,220.18753,1046.2178,
,22,235.45992,993.4411,235.45992,993.4411,235.45992,993.4411,
,8,873.3035,926.8989,873.3035,926.8989,873.3035,926.8989,
,2,680.40875,916.10803,680.40875,916.10803,680.40875,916.10803,
,25,682.26416,1016.46173,682.26416,1016.46173,682.26416,1016.46173,
,1,866.1423,892.98004,866.1423,892.98004,866.1423,892.98004,
,20,64.607765,927.3822,64.607765,927.3822,64.607765,927.3822,
,3,652.66296,1046.7817,652.66296,1046.7817,652.66296,1046.7817,
,4,486.0,986.0,556.0127,975.1897,556.0127,975.1897,
,29,160.0412,914.83075,1284.0,773.0,1284.0,773.0,
,50,158.0,1013.0,63.44653,1006.6974,63.44653,1006.6974,
,25,549.15625,978.59143,549.15625,978.59143,549.15625,978.59143,
,8,675.0,950.0,555.81146,922.80035,555.81146,922.80035,
,22,220.18753,1046.2178,220.18753,1046.2178,220.18753,1046.2178,
,22,235.45992,993.4411,235.45992,993.4411,235.45992,993.4411,
,8,873.3035,926.8989,873.3035,926.8989,873.3035,926.8989,
,2,680.40875,916.10803,680.40875,916.10803,680.40875,916.10803,
,25,682.26416,1016.46173,682.26416,1016.46173,682.26416,1016.46173,
,1,866.1423,892.98004,866.1423,892.98004,866.1423,892.98004,
,20,64.607765,927.3822,64.607765,927.3822,64.607765,927.3822,
,3,652.66296,1046.7817,652.66296,1046.7817,652.66296,1046.7817,
,4,486.0,986.0,556.0127,975.1897,556.0127,975.1897,
,29,160.0412,914.83075,1284.0,773.0,1284.0,773.0,
,50,158.0,1013.0,63.44653,1006.6974,63.44653,1006.6974,
,25,549.15625,978.59143,549.15625,978.59143,549.15625,978.59143,
,8,675.0,950.0,555.81146,922.80035,555.81146,922.80035,
,22,220.18753,1046.2178,220.18753,1046.2178,220.18753,1046.2178,
,22,235.45992,993.4411,235.45992,993.4411,235.45992,993.4411,
,8,873.3035,926.8989,873.3035,926.8989,873.3035,926.8989,
,2,680.40875,916.10803,680.40875,916.10803,680.40875,916.10803,
,25,682.26416,1016.46173,682.26416,1016.46173,682.26416,1016.46173,
,1,866.1423,892.98004,866.1423,892.98004,866.1423,892.98004,
,20,64.607765,927.3822,64.607765,927.3822,64.607765,927.3822,
,3,652.66296,1046.7817,652.66296,1046.7817,652.66296,1046.7817,
,4,486.0,986.0,556.0127,975.1897,556.0127,975.1897,
,29,160.0412,914.83075,1284.0,773.0,1284.0,773.0,
,50,158.0,1013.0,63.44653,1006.6974,63.44653,1006.6974,
,25,549.15625,978.59143,549.15625,978.59143,549.15625,978.59143,
,8,675.0,950.0,555.81146,922.80035,555.81146,922.80035,
,22,220.18753,1046.2178,220.18753,1046.2178,220.18753,1046.2178,
,22,235.45992,993.4411,235.45992,993.4411,235.45992,993.4411,
,8,873.3035,926.8989,873.3035,926.8989,873.3035,926.8989,
,2,680.40875,916.10803,680.40875,916.10803,680.40875,916.10803,
,25,682.26416,1016.46173,682.26416,1016.46173,682.26416,1016.46173,
,1,866.1423,892.98004,866.1423,892.98004,866.1423,892.98004,
,20,64.607765,927.3822,64.607765,927.3822,64.607765,927.3822,
,3,652.66296,1046.7817,652.66296,1046.7817,652.66296,1046.7817,
,4,486.0,986.0,556.0127,975.1897,556.0127,975.1897,
,29,160.0412,914.83075,1284.0,773.0,1284.0,773.0,
,50,158.0,1013.0,63.44653,1006.6974,63.44653,1006.6974,
,25,549.15625,978.59143,549.15625,978.59143,549.15625,978.59143,
,8,675.0,950.0,555.81146,922.80035,555.81146,922.80035,
,22,220.18753,1046.2178,220.18753,1046.2178,220.18753,1046.2178,
,22,235.45992,993.4411,235.45992,993.4411,235.45992,993.4411,
,8,873.3035,926.8989,873.3035,926.8989,873.3035,926.8989,
,2,680.40875,916.10803,680.40875,916.10803,680.40875,916.10803,
,25,682.26416,1016.46173,682.26416,1016.46173,682.26416,1016.46173,
,1,866.1423,892.98004,866.1423,892.98004,866.1423,892.98004,
,20,64.607765,927.3822,64.607765,927.3822,64.607765,927.3822,
,3,652.66296,1046.7817,652.66296,1046.7817,652.66296,1046.7817,
,4,486.0,986.0,556.0127,975.1897,556.0127,975.1897,
,29,160.0412,914.83075,1284.0,773.0,1284.0,773.0,
,50,158.0,1013.0,63.44653,1006.6974,63.44653,1006.6974,
,25,549.15625,978.59143,549.15625,978.59143,549.15625,978.59143,
,8,675.0,950.0,555.81146,922.80035,555.81146,922.80035,
,22,220.18753,1046.2178,220.18753,1046.2178,220.18753,1046.2178,
,22,235.45992,993.4411,235.45992,993.4411,235.45992,993.4411,
,8,873.3035,926.8989,873.3035,926.8989,873.3035,926.8989,
,2,680.40875,916.10803,680.40875,916.10803,680.40875,916.10803,
,25,682.26416,1016.46173,682.26416,1016.46173,682.26416,1016.46173,
,1,866.1423,892.98004,866.1423,892.98004,866.1423,892.98004,
,20,64.607765,927.3822,64.607765,927.3822,64.607765,927.3822,
,3,652.66296,1046.7817,652.66296,1046.7817,652.66296,1046.7817,
,4,486.0,986.0,556.0127,975.1897,556.0127,975.1897,
,29,160.0412,914.83075,1284.0,773.0,1284.0,773.0,
,50,158.0,1013.0,63.44653,1006.6974,63.44653,1006.6974,
,25,549.15625,978.59143,549.15625,978.59143,549.15625,978.59143,
,8,675.0,950.0,555.81146,922.80035,555.81146,922.80035,
,22,220.18753,1046.2178,220.18753,1046.2178,220.18753,1046.2178,
,22,235.45992,993.4411,235.45992,993.4411,235.45992,993.4411,
,8,873.3035,926.8989,873.3035,926.8989,873.3035,926.8989,
,2,680.40875,916.10803,680.40875,916.10803,680.40875,916.10803,
,25,682.26416,1016.46173,682.26416,1016.46173,682.26416,1016.46173,
,1,866.1423,892.98004,866.1423,892.98004,866.1423,892.98004,
,20,64.607765,927.3822,64.607765,927.3822,64.607765,927.3822,
,3,652.66296,1046.7817,652.66296,1046.7817,652.66296,1046.7817,
,4,486.0,986.0,556.0127,975.1897,556.0127,975.1897,
,29,160.0412,914.83075,1284.0,773.0,1284.0,773.0,
,50,158.0,1013.0,63.44653,1006.6974,63.44653,1006.6974,
,25,549.15625,978.59143,549.15625,978.59143,549.15625,978.59143,
,8,675.0,950.0,555.81146,922.80035,555.81146,922.80035,
,22,220.18753,1046.2178,220.18753,1046.2178,220.18753,1046.2178,
,22,235.45992,993.4411,235.45992,993.4411,235.45992,993.4411,
,8,873.3035,926.8989,873.3035,926.8989,873.3035,926.8989,
,2,680.40875,916.10803,680.40875,916.10803,680.40875,916.10803,
,25,682.26416,1016.46173,682.26416,1016.46173,682.26416,1016.46173,
,1,866.1423,892.98004,866.1423,892.98004,866.1423,892.98004,
,20,64.607765,927.3822,64.607765,927.3822,64.607765,927.3822,
,3,652.66296,1046.7817,652.66296,1046.7817,652.66296,1046.7817,
,4,486.0,986.0,556.0127,975.1897,556.0127,975.1897,
,29,160.0412,914.83075,1284.0,773.0,1284.0,773.0,
,50,158.0,1013.0,63.44653,1006.6974,63.44653,1006.6974,
,25,549.15625,978.59143,549.15625,978.59143,549.15625,978.59143,
,8,675.0,950.0,555.81146,922.80035,555.81146,922.80035,
,22,220.18753,1046.2178,220.18753,1046.2178,220.18753,1046.2178,
,22,235.45992,993.4411,235.45992,993.4411,235.45992,993.4411,
,8,873.3035,926.8989,873.3035,926.8989,873.3035,926.8989,
,2,680.40875,916.10803,680.40875,916.10803,680.40875,916.10803,
,25,682.26416,1016.46173,682.26416,1016.46173,682.26416,1016.46173,
,1,866.1423,892.98004,866.1423,892.98004,866.1423,892.98004,
,20,64.607765,927.3822,64.607765,927.3822,64.607765,927.3822,
,3,652.66296,1046.7817,652.66296,1046.7817,652.66296,1046.7817,
,4,486.0,986.0,556.0127,975.1897,556.0127,975.1897,
,29,160.0412,914.83075,1284.0,773.0,1284.0,773.0,
,50,158.0,1013.0,63.44653,1006.6974,63.44653,1006.6974,
,25,549.15625,978.59143,549.15625,978.59143,549.15625,978.59143,
,8,675.0,950.0,555.81146,922.80035,555.81146,922.80035,
,22,220.18753,1046.2178,220.18753,1046.2178,220.18753,1046.2178,
,22,235.45992,993.4411,235.45992,993.4411,235.45992,993.4411,
,8,873.3035,926.8989,873.3035,926.8989,873.3035,926.8989,
,2,680.40875,916.10803,680.40875,916.10803,680.40875,916.10803,
,25,682.26416,1016.46173,682.26416,1016.46173,682.26416,1016.46173,
,1,866.1423,892.98004,866.1423,892.98004,866.1423,892.98004,
,20,64.607765,927.3822,64.607765,927.3822,64.607765,927.3822,
,3,652.66296,1046.7817,652.66296,1046.7817,652.66296,1046.7817,
,4,486.0,986.0,556.0127,975.1897,556.0127,975.1897,
,29,160.0412,914.83075,1284.0,773.0,1284.0,773.0,
,50,158.0,1013.0,63.44653,1006.6974,63.44653,1006.6974,
,25,549.15625,978.59143,549.15625,978.59143,549.15625,978.59143,
,8,675.0,950.0,555.81146,922.80035,555.81146,922.80035,
,22,220.18753,1046.2178,220.18753,1046.2178,220.18753,1046.2178,
,22,235.45992,993.4411,235.45992,993.4411,235.45992,993.4411,
,8,873.3035,926.8989,873.3035,926.8989,873.3035,926.8989,
,2,680.40875,916.10803,680.40875,916.10803,680.40875,916.10803,
,25,682.26416,1016.46173,682.26416,1016.46173,682.26416,1016.46173,
,1,866.1423,892.98004,866.1423,892.98004,866.1423,892.98004,
,20,64.607765,927.3822,64.607765,927.3822,64.607765,927.3822,
,3,652.66296,1046.7817,652.66296,1046.7817,652.66296,1046.7817,
,22,137.97208,1056.2262,137.97208,1056.2262,137.97208,1056.2262,
,4,486.0,986.0,556.0127,975.1897,556.0127,975.1897,
,29,160.0412,914.83075,1284.0,773.0,1284.0,773.0,
,50,158.0,1013.0,63.44653,1006.6974,63.44653,1006.6974,
,25,549.15625,978.59143,549.15625,978.59143,549.15625,978.59143,
,8,675.0,950.0,555.81146,922.80035,555.81146,922.80035,
,22,220.18753,1046.2178,220.18753,1046.2178,220.18753,1046.2178,
,22,235.45992,993.4411,235.45992,993.4411,235.45992,993.4411,
,8,873.3035,926.8989,873.3035,926.8989,873.3035,926.8989,
,2,680.40875,916.10803,680.40875,916.10803,680.40875,916.10803,
,25,682.26416,1016.46173,682.26416,1016.46173,682.26416,1016.46173,
,1,866.1423,892.98004,866.1423,892.98004,866.1423,892.98004,
,20,64.607765,927.3822,64.607765,927.3822,64.607765,927.3822,
,3,652.66296,1046.7817,652.66296,1046.7817,652.66296,1046.7817,
,4,486.0,986.0,556.0127,975.1897,556.0127,975.1897,
,29,160.0412,914.83075,1284.0,773.0,1284.0,773.0,
,50,158.0,1013.0,63.44653,1006.6974,63.44653,1006.6974,
,25,549.15625,978.59143,549.15625,978.59143,549.15625,978.59143,
,8,675.0,950.0,555.81146,922.80035,555.81146,922.80035,
,22,220.18753,1046.2178,220.18753,1046.2178,220.18753,1046.2178,
,22,235.45992,993.4411,235.45992,993.4411,235.45992,993.4411,
,8,873.3035,926.8989,873.3035,926.8989,873.3035,926.8989,
,2,680.40875,916.10803,680.40875,916.10803,680.40875,916.10803,
,25,682.26416,1016.46173,682.26416,1016.46173,682.26416,1016.46173,
,1,866.1423,892.98004,866.1423,892.98004,866.1423,892.98004,
,20,64.607765,927.3822,64.607765,927.3822,64.607765,927.3822,
,3,652.66296,1046.7817,652.66296,1046.7817,652.66296,1046.7817,
,4,486.0,986.0,556.0127,975.1897,556.0127,975.1897,
,29,160.0412,914.83075,1284.0,773.0,1284.0,773.0,
,50,158.0,1013.0,63.44653,1006.6974,63.44653,1006.6974,
,25,549.15625,978.59143,549.15625,978.59143,549.15625,978.59143,
,8,675.0,950.0,555.81146,922.80035,555.81146,922.80035,
,22,220.18753,1046.2178,220.18753,1046.2178,220.18753,1046.2178,
,22,235.45992,993.4411,235.45992,993.4411,235.45992,993.4411,
,8,873.3035,926.8989,873.3035,926.8989,873.3035,926.8989,
,2,680.40875,916.10803,680.40875,916.10803,680.40875,916.10803,
,25,682.26416,1016.46173,682.26416,1016.46173,682.26416,1016.46173,
,1,866.1423,892.98004,866.1423,892.98004,866.1423,892.98004,
,20,64.607765,927.3822,64.607765,927.3822,64.607765,927.3822,
,3,652.66296,1046.7817,652.66296,1046.7817,652.66296,1046.7817,
,0.0,158.0,1013.0,63.44653,1006.6974,63.44653,1006.6974,
,14,203.0,541.0,203.0,541.0,203.0,541.0,
,16,213.0,481.0,217.0,491.0,217.0,491.0,
,45,471.0,494.0,471.0,494.0,471.0,494.0,
,54,477.0,432.0,477.0,432.0,477.0,432.0,
,43,399.0,488.0,490.0,970.0,490.0,970.0,
